id;latitude;longitude
courmangoux;46.3333;5.36667
baneins;46.1167;4.9
lagnieu;45.9;5.35
attignat;46.2833;5.16667
saint-andre-de-bage;46.3;4.91667
pont-de-vaux;46.4333;4.93333
amberieu-en-bugey;45.95;5.35
peyzieux-sur-saone;46.1167;4.81667
crozet-01;46.2806;6.01251
seyssel-01;45.9597;5.83194
beynost;45.8333;5
versonnex-01;46.3023;6.09723
saint-laurent-sur-saone;46.3;4.83333
artemare;45.8667;5.7
montracol;46.1833;5.11667
parves;45.75;5.75
pugieu;45.8167;5.65
virieu-le-grand;45.85;5.65
saint-remy-01;46.1833;5.16667
rance;45.9667;4.86667
grieges;46.25;4.85
grand-corent;46.2;5.43333
outriaz;46.0667;5.55
montagnieu-01;45.8;5.46667
champagne-en-valromey;45.9;5.68333
amberieux-en-dombes;46;4.9
boisse-01;45.85;5.03333
parcieux;45.9167;4.81667
saint-didier-d-aussiat;46.3;5.06667
saint-nizier-le-bouchoux;46.45;5.15
ars-sur-formans;45.9833;4.81667
anglefort;45.9167;5.80833
corlier;46.0333;5.5
ferney-voltaire;46.25;6.11667
saint-maurice-de-remens;45.95;5.28333
chatillon-la-palud;45.9667;5.25
saint-sulpice-01;46.3203;5.04167
saint-bois;45.7;5.63333
virignin;45.7167;5.71667
premillieu;45.8667;5.56667
genouilleux;46.1167;4.78333
reyssouze;46.4333;4.91667
collonges;46.1333;5.9
saint-germain-de-joux;46.1833;5.73333
bregnier-cordon;45.65;5.61667
saint-martin-le-chatel;46.2833;5.11667
marignieu;45.8;5.71667
neyrolles;46.1333;5.63333
sulignat;46.1667;4.96667
beny;46.3333;5.28333
injoux-genissiat;46.05;5.78333
chanay;46;5.78333
chatillon-sur-chalaronne;46.1167;4.96667
farges-01;46.1667;5.91667
saint-alban-01;46.1;5.45
curtafond;46.2667;5.08333
viriat;46.25;5.21667
belleydoux;46.25;5.76667
bage-le-chatel;46.3;4.93333
sainte-olive;46.0167;4.93333
saint-genis-sur-menthon;46.2833;5.01667
domsure;46.4167;5.3
chavannes-sur-suran;46.2667;5.41667
priay;46;5.28333
peyrieu;45.6767;5.67751
lalleyriat;46.15;5.71667
sergy-01;46.25;6
saint-martin-du-frene;46.1333;5.55
saint-maurice-de-beynost;45.8333;4.96667
servas-01;46.1333;5.16667
cuzieu-01;45.8192;5.67445
jayat;46.3667;5.11667
lavours;45.8;5.76667
chevroux;46.3833;4.95
pollieu;45.8;5.75
beligneux;45.8667;5.11667
brenaz;45.95;5.71667
benonces;45.8333;5.48333
saint-jean-le-vieux-01;46.0284;5.38917
beauregard-01;46.002;4.75139
oyonnax;46.25;5.66667
mionnay;45.9;4.93333
germagnat;46.3167;5.45
coligny;46.3833;5.35
simandre-sur-suran;46.2167;5.41667
abergement-clemenciat;46.15;4.91667
lescheroux;46.4;5.15
ornex;46.2833;6.1
dommartin-01;46.3417;4.99167
lompnas;45.8;5.51667
bettant;45.9333;5.36667
armix;45.85;5.58333
feillens;46.3333;4.88333
chavornay;45.8833;5.7
challex;46.1833;5.96667
vongnes;45.8167;5.71667
magnieu;45.7833;5.71667
groissiat;46.2167;5.6
dompierre-sur-chalaronne;46.1333;4.9
montluel;45.85;5.05
poizat;46.15;5.7
hostiaz;45.9;5.53333
montanges;46.1667;5.8
sainte-julie;45.8833;5.28333
bey-01;46.2167;4.85
sonthonnax-la-montagne;46.2333;5.53333
mezeriat;46.2333;5.03333
bellignat;46.25;5.61667
saint-marcel-01;45.9487;4.98723
belley;45.7667;5.68333
corbonod;45.95;5.81667
neyron;45.8148;4.93223
saint-paul-de-varax;46.1;5.13333
pressiat;46.3333;5.38333
chazey-bons;45.8;5.68333
servignat;46.4333;5.06667
marlieux;46.0667;5.06667
andert-et-condon;45.8;5.65
hautecourt-romaneche;46.1583;5.41667
crottet;46.2833;4.9
druillat;46.0667;5.31667
dompierre-sur-veyle;46.0667;5.2
perouges;45.9;5.18333
rignieux-le-franc;45.9333;5.18333
giron;46.2333;5.76667
cerdon-01;46.0833;5.46667
cruzilles-les-mepillat;46.2167;4.88333
lelex;46.3;5.95
lhopital;46.0217;5.77834
segny;46.3;6.08333
cheignieu-la-balme;45.8333;5.61667
saint-vulbas;45.8333;5.28333
echallon;46.21;5.74139
montellier;45.9333;5.06667
martignat;46.2167;5.6
ceyzeriat;46.1667;5.31667
montcet;46.2;5.11667
vonnas;46.2167;5
buellas;46.2;5.13333
saint-benigne;46.4333;4.96667
chevillard;46.1167;5.58333
bouligneux;46.0167;5
contrevoz;45.8;5.63333
champdor;46.0167;5.6
port-01;46.1667;5.56667
surjoux;46.0167;5.8
champfromier;46.2;5.81667
vesines;46.35;4.86667
seillonnaz;45.8;5.48333
varambon;46.0333;5.31667
grand-abergement;46.0333;5.66667
jassans-riottier;45.9833;4.75
asnieres-sur-saone;46.3833;4.88333
condamine-01;46.1167;5.56667
lhuis;45.75;5.53333
romans-01;46.1167;5.03333
pizay;45.8833;5.08333
certines;46.1333;5.26667
ruffieu;46;5.66667
meximieux;45.9;5.2
saint-rambert-en-bugey;45.95;5.43333
ambronay;46;5.35
cize-01;46.2;5.43333
saint-germain-sur-renon;46.0833;5.05
villette-sur-ain;45.9884;5.26862
dagneux;45.85;5.06667
boissey-01;46.3833;5
salavre;46.3667;5.35
brion-01;46.1728;5.55251
labalme;46.1;5.48333
sauverny;46.3167;6.11667
montceaux;46.1;4.8
brenod;46.0667;5.6
miserieux;45.9833;4.81667
prevessin-moens;46.25;6.08333
lent-01;46.1167;5.2
marsonnas;46.3333;5.06667
manziat;46.35;4.9
trevoux-01;45.9333;4.76667
bellegarde-sur-valserine;46.1;5.81667
bourg-en-bresse;46.2;5.21667
confort;46.15;5.81667
saint-denis-les-bourg;46.2;5.2
massignieu-de-rives;45.75;5.76667
saint-etienne-sur-chalaronne;46.15;4.86667
bohas-meyriat-rignat;46.1333;5.4
chevry-01;46.2833;6.03333
fareins;46.0167;4.76667
gorrevod;46.4167;4.95
valeins;46.1167;4.86667
vieu-d-izenave;46.0833;5.53333
toussieux;45.9667;4.83333
arbigny;46.4667;4.96667
malafretaz;46.3167;5.15
samognat;46.25;5.58333
cras-sur-reyssouze;46.3;5.16667
messimy-sur-saone;46.0484;4.76473
pougny-01;46.1333;5.95
sandrans;46.0667;4.98333
pont-de-veyle;46.2667;4.88333
mijoux;46.3667;6
saint-jean-de-gonville;46.2167;5.95
saint-andre-le-bouchoux;46.1167;5.08333
chaneins;46.1;4.85
joyeux;45.95;5.1
tramoyes;45.8667;4.96667
biziat;46.2167;4.93333
izenave;46.0333;5.53333
belmont-luthezieu;45.8795;5.66167
arbent;46.3;5.68333
sutrieu;45.95;5.65
serrieres-de-briord;45.8081;5.45445
aranc;46;5.5
chaley;45.95;5.53333
curciat-dongalon;46.4667;5.15
loyettes;45.7667;5.2
gex;46.3333;6.06667
courtes;46.4667;5.1
bereziat;46.3667;5.05
lapeyrouse-01;45.9833;4.96667
apremont-01;46.2083;5.65833
villieu-loyes-mollon;45.9206;5.22223
leyment;45.9167;5.3
etrez;46.3333;5.18333
gercy;49.8167;3.86667
villemontoire;49.3;3.33333
brancourt-le-grand;49.9667;3.38333
licy-clignon;49.1;3.26667
proisy;49.9;3.73333
chambry-02;49.6;3.65
mont-saint-jean-02;49.7833;4.2
morgny-en-thierache;49.7667;4.06667
mesnil-saint-laurent;49.8333;3.35
annois;49.7167;3.16667
brunehamel;49.7667;4.18333
audignicourt;49.4833;3.13333
montigny-sur-crecy;49.7167;3.58333
lor;49.5333;4.05
chivres-en-laonnois;49.6333;3.85
saint-gobain;49.6;3.38333
ugny-le-gay;49.6667;3.16667
happencourt;49.7833;3.18333
